FDA,inhibitor,non inhibitor
-9.8,-11.4,-8.9
-9,-11.5,-7.1
-9.6,-11.6,-7.8
-9.1,-10.9,-8.6
-9.1,-11.6,-8.3
-9.6,-11,-7.3
-10.9,-12.1,-8.1
-10.3,-11.8,-7.5
-8.9,-11.3,-9.3
-11.1,-11.1,-9.2
-10.2,-11.1,-9.1
-10.2,-11.7,-9
-11.4,-12.2,-8.8
-9.8,-11.2,-8.8
-11,-12.2,-8.6
-9.6,-11.6,-8.5
-12.7,-11.4,-7.5
-12.6,-11.1,-7.3
-12.1,-11.8,-8.3
-11.9,-11.1,-8.1
-11.8,-11.9,-7.9
-11.7,-11.6,-7.9
-11.6,-11.4,-7.8
-11.4,-12.4,-7.6
-11.3,-12.5,-7.5
-11.3,-12.4,-7.4
-11.3,-11.4,-7.4
-11.2,-11,-7.3
-11.2,-11.5,-8.4
-11.1,-11,-7.2
-11.1,-11.3,-6.9
-11.1,-11.4,-6.8
-10.9,-11.6,-6.5
-10.9,-11.3,-8.6
-10.9,-11.4,-8.4
-10.8,-11.3,-8.1
-10.8,-12.1,-6.1
-10.8,-10.9,-6.1
-10.7,-11.4,-7.8
-10.7,-11.1,-7.7
-10.6,-12.2,-7.6
-10.5,-10.9,-7.3
-10.5,-11.4,-7.9
-10.5,-11.5,-7.1
-10.4,-11.7,-8.8
-10.3,-11.5,-7.6
-10.3,-11,-7.5
-10.3,-10.9,-7.1
-10.2,-11.1,-7.8
-10.1,-11.1,-7
