maxHssNH,maxsF,SsF,nHBint8,minssNH,minHBint4,minsF,SpMin1_Bhp,mindsCH,SHssNH,n6HeteroRing,minHssNH,nT6HeteroRing,MDEO-11,BCUTp-1h,minHBint8,MDEN-22,ATSC8c,minHBd,nF,SpMin1_Bhv,GATS1s,SpMin1_Bhe,nsF,maxHBd,ATSC8e,AATSC8c,SHCsatu,AATSC0i,minHCsatu,BCUTw-1l,minwHBa,mindssC,minHBint2,ATSC6c,nF10HeteroRing,nT10HeteroRing,nHBint4,AATSC8e,SpMax1_Bhp,SpMin1_Bhi,mindsN,WTPT-4,SpMin1_Bhm,SHBd,maxHCsatu,ATSC6e,nF10Ring,nT10Ring,nT6Ring,n6Ring,BCUTc-1h,SpMax3_Bhs,MATS8c,MLFER_A,mindO,SpMax1_Bhv,SpMax1_Bhe,MATS8e,maxHdsCH,maxHother,ATSC0s,SpMax1_Bhm,MDEC-33,nHeteroRing,R_TpiPCTPC,SM1_Dzi,AATSC6c,SpMax2_Bhp,BCUTw-1h,SCH-6,ndssC,SpMin2_Bhp,SpMax1_Bhi,SpMax1_Bhs,MLFER_BO,C3SP2,nHssNH,nssNH,ASP-7,SM1_Dzv,SpMax5_Bhi,WTPT-3,MLFER_BH,MPC8,gmin,BCUTp-1l,MPC9,ATSC0i,SpMax2_Bhv,minHBa,AATSC6e,WTPT-5,MATS6c,SM1_Dzs,GGI8,SpMin2_Bhi,GGI7,SpMAD_Dt,WTPT-2,hmax,SpMax2_Bhi,nAtomP,ASP-1,EE_Dt,SpMax_Dt,SpAD_Dt,SM1_Dzp,nTRing,fragC,GATS1e,piPC9,nHBAcc2,VR3_Dzp,nN,SpMax5_Bhe,minHCsats,GATS3s,piPC10,SpMax2_Bhs,minssCH2,SpMax2_Bhm,SpMax8_Bhs,BCUTc-1l,nX,MPC4,TPC,SpMax2_Bhe,SCH-7,MATS1s,nssCH2,ATS8m,piPC8,ASP-6,nRing,SM1_Dze,MATS6e,GGI9,FMF,GATS8c,AATSC7e,SpMax4_Bhs,RotBtFrac,ATS4s,MDEC-23,SpMax6_Bhp,JGI10,SpMax5_Bhv,MPC10,MATS6s,SpDiam_Dt,SP-7,MWC9,JGI5,VR3_Dzi,SP-5,nHBAcc,SpMax5_Bhp,SpMin2_Bhe,ASP-0,Inhibitor
0,13.617387,13.617387,0,0,0,13.617387,1.901167,1.501837,0,0,0,0,0,11.077213,0,2.381102,0.011554,0,1,1.912407,0.482632,1.824373,1,0,-0.322541,0.000312,0.619921,2.552377,0.619921,11.997408,-0.13543,-0.13543,0,0.043855,0,0,0,-0.008717,3.800532,1.803909,3.755674,0,1.912221,0,0.619921,0.275227,0,0,2,2,0.193582,3.69369,0.049413,0.003,0,3.783869,3.867729,-0.10386,0.588269,0.588269,51.654653,3.993305,2.004145,1,4.527426,1.167801,0.00107,3.747747,31.972072,0.33677,4,1.884397,3.90971,4.713768,1.208,1,0,0,0.034966,-1.666379,2.933915,18.38372,1.218,56,-1.500536,4.735846,55,79.123697,3.746801,-1.500536,0.006713,12.733777,0.169251,-0.063336,0.067515,1.770725,0.212727,16.822973,2.057351,0.619921,3.849361,11,0.447424,168.229732,168.229732,336.459465,-3.646794,3,104.06,0.441028,5.978886,5,10.872683,4,2.8833,0,0.974307,6.204558,3.933734,0.782289,3.779485,2.561904,-0.239033,1,47,474,3.82208,0.404448,0.03102,1,2481.667742,5.799093,0.053123,3,0.945908,0.079979,0.04125,0.612903,0.690977,0.009419,3.625327,0.227273,193.962963,11.241912,2.694893,0.005734,2.723337,53,0.109252,251.204959,1.853198,10.581597,0.015384,10.078169,4.310079,4,2.715374,1.798105,0.689312,0
0.380066,0,0,0,3.319466,0,0,1.937107,1.894843,0.380066,0,0.380066,0,0,11.731231,0,0,0.042447,0.380066,0,1.939067,0.622778,1.862387,0,0.380066,0.358026,0.000393,0.912666,1.478713,0.912666,11.85,-0.069928,-0.069928,0,0.076192,0,0,0,0.003315,3.878767,1.845268,0,8.759985,1.95004,0.380066,0.912666,1.031324,0,0,3,3,0.248359,3.854404,0.029578,0.003,13.34011,3.884097,3.969433,0.040727,0.587461,0.587461,45.094531,3.9695,9.66612,2,4.611455,1.101563,0.000705,3.784714,34.968854,0.58677,8,1.909123,3.995354,4.599192,1.046,3,1,1,0.026828,-1.752344,3.239573,18.012151,1.036,186,-0.259675,5.724086,212,68.020782,3.777677,0.774905,0.009549,6.732787,0.053092,1.364202,0.356513,1.814224,0.420103,20.826336,2.087539,0.912666,3.852047,18,0.429899,301.981875,301.981875,603.963749,-4.049301,6,277.06,0.720828,7.163172,5,16.208177,2,3.224198,0,0.777524,7.510431,3.949248,0.224923,3.902062,2.794769,-0.316523,1,87,1292,3.843426,0.832834,-0.070157,1,7852.480495,6.801283,0.043404,5,1.235795,0.117317,0.195015,0.586957,0.786276,0.008193,3.73672,0.151515,345.545268,30.204794,2.987209,0.005638,3.055084,238,-0.007156,406.494205,4.158383,11.33338,0.028437,18.578378,7.733509,5,3.045529,1.83269,0.682563,0
0,0,0,1,0,0,0,2.046613,1.513468,0,1,0,1,1.301395,12.570057,0.294987,0,-0.2019,0.515033,0,2.067621,0.729016,1.98834,0,0.515033,0.374937,-0.001803,0,1.491172,0,11.998505,-1.104608,-1.104608,6.224928,0.056745,1,1,0,0.003348,4.087686,1.990391,4.657872,12.687709,2.000686,0.515033,0,0.126405,1,1,3,3,0.291486,4.025,-0.123745,0.591,12.086466,3.989375,4.071927,0.033482,0.628401,0.628401,121.229886,4.731309,11.35242,2,7.208364,1.360931,0.00045,3.859804,34.969381,0.191638,9,1.888966,4.056163,5.091988,1.344,3,0,0,0.027616,-2.392754,3.364723,25.374175,1.349,187,-5.521105,4.734796,219,82.014486,3.821682,0.572753,0.001003,6.610281,0.030915,-0.944555,0.507669,1.825591,0.699653,22.135025,2.041074,1.432159,3.90925,24,0.43734,354.160403,354.160403,708.320805,-5.789752,5,233.09,0.622539,7.759187,7,19.431534,2,3.366177,0.362328,0.653098,8.052297,4.867553,0.555992,4.001835,3.45178,-0.346768,1,88,1339,3.909097,0.419572,-0.146005,6,8436.918446,7.311218,0.044334,4,1.80414,0.010034,0.307191,0.436364,1.235125,0.021836,4.007463,0.228571,525.255144,24.715524,3.013321,0.007738,3.221263,238,-0.077114,479.699435,4.501406,11.434758,0.032922,19.661139,8.07019,7,3.248523,1.822595,0.715003,0
0.443949,0,0,0,2.87235,0,0,2.019688,1.37054,0.443949,1,0.443949,1,0.721125,11.659236,0,1.626489,0.075658,0.443949,0,2.008855,0.471397,1.893453,0,0.443949,-1.289454,0.000796,0.587546,1.742577,0.587546,11.999,-0.383748,-0.383748,5.728852,0.144765,0,0,0,-0.013573,3.856591,1.870337,4.063371,7.449452,1.981509,0.443949,0.587546,0.581698,0,0,3,3,0.235526,4.015313,0.078637,-0.088,11.71279,3.855066,3.946554,-0.171578,0.667163,0.667163,101.707927,4.095465,8.440628,3,4.81675,2.009249,0.001196,3.813878,31.972073,0.664897,9,1.913053,3.974888,4.993049,1.751,2,1,1,0.029715,-3.274677,3.428137,32.938103,1.773,158,-1.597418,4.156265,171,94.099154,3.803983,-1.597418,0.004807,22.330625,0.118132,2.191667,0.30891,1.801565,0.535608,22.673426,2.068303,0.667163,3.937542,26,0.432195,374.111534,374.111534,748.223068,-6.450018,6,313.11,0.468592,7.060476,9,18.921896,7,3.408957,0.36153,0.584035,7.383368,4.74784,0.795012,3.907238,3.293216,-0.274994,0,96,1206,3.898853,0.878739,0.027235,5,6907.031549,6.776507,0.04609,5,1.798681,0.06077,0.265008,0.518519,1.183357,-0.012998,4,0.216216,425.969136,21.330468,3.068412,0.006352,3.18424,187,0.070051,534.722375,4.457288,11.415522,0.025374,19.333577,8.627387,7,3.156811,1.824607,0.695425,0
0.349762,14.109871,14.109871,0,2.955694,0,14.109871,2.038242,1.500757,0.349762,1,0.349762,1,0,11.654412,0,0,0.014946,0.349762,1,2.03744,0.538588,1.88272,1,0.349762,-0.099979,0.000117,1.224704,1.85134,0.542455,11.997376,-0.18378,-0.18378,4.025453,0.29941,0,0,0,-0.000781,3.832702,1.849259,0,8.554388,2.002597,0.349762,0.682249,0.38068,0,0,3,3,0.196884,4.006165,0.007696,-0.094,11.509107,3.84004,3.943724,-0.007961,0.579508,0.579508,88.33543,3.892727,4.869709,2,2.682099,1.548855,0.001837,3.766458,19.000136,0.401375,6,1.907238,3.982478,5.01289,1.588,1,1,1,0.030394,-2.701617,3.349157,21.080133,1.583,137,-0.18378,4.294808,140,98.12102,3.771034,2.091211,0.002335,9.974572,0.12106,2.585204,0.322759,1.788603,0.476616,19.22486,2.060807,0.858955,3.883447,8,0.439168,269.148042,269.148042,538.296084,-6.799633,5,205.07,0.76524,6.09357,6,15.394819,3,3.318411,0.557442,0.860454,6.318968,4.781884,0.239405,3.818369,2.930404,-0.34594,1,74,972,3.860208,0.529143,-0.018161,6,5972.220432,6.013715,0.047569,4,1.479773,0.023804,0.201566,0.415094,1.021311,-0.010201,3.767407,0.258065,366,21.764847,2.882924,0.007907,3.129927,151,-0.038845,365.331529,3.647318,11.116752,0.022877,15.745375,6.782271,5,3.110393,1.811643,0.696781,0
0.433211,0,0,0,2.784878,2.34362,0,1.994115,2.02435,0.433211,1,0.433211,1,0.166667,12.099854,0,0,-0.345559,0.433211,0,1.993605,0.589059,1.907652,0,0.433211,-3.108296,-0.004065,2.04873,1.328628,0.569818,11.89,-0.361284,-0.361284,5.22586,0.107969,0,0,2,-0.036568,3.884978,1.894348,0,10.97239,1.971183,0.433211,0.773016,2.151098,0,0,2,2,0.291178,3.865001,-0.265192,0.605,12.063092,3.87776,3.93866,-0.340233,0.448449,0.448449,74.777085,4.09035,11.862103,1,3.144499,1.181108,0.001009,3.627753,34.969855,0.123597,7,1.784948,3.953153,4.83495,1.373,2,1,1,0.031345,-1.748725,3.238713,19.030103,1.372,71,-0.361284,4.945779,72,61.116894,3.630168,0.694638,0.020104,2.993082,0.065822,1.971986,0.238347,1.652833,0.322917,16.577238,1.981989,0.773016,3.739115,8,0.454132,207.21547,207.21547,414.43094,-4.379469,2,76.07,0.701787,5.880533,5,13.080029,1,3.189691,0.397528,1.04925,5.648974,4.803905,0.213996,3.78767,2.848131,-0.375701,2,58,609,3.72405,0.350628,-0.045167,3,4066.868103,5.669881,0.048484,2,1.553811,0.187046,0.14125,0.26087,1.38065,0.015025,3.627817,0.461538,340.54321,14.850686,2.892662,0.01204,3.020288,58,0.15998,304.786821,2.288183,10.940597,0.030405,13.649324,4.994039,5,3.030909,1.670605,0.742405,0
0.6134,12.386945,24.77389,0,2.401507,0,12.386945,1.951252,1.351977,0.6134,0,0.6134,0,0,9.708715,0,1,-0.162344,0.6134,2,1.944989,0.610463,1.850512,2,0.6134,-0.314294,-0.002108,2.538374,2.254365,0.47321,11.996151,-0.426042,-0.426042,7.345856,0.271655,0,0,0,-0.004082,3.801536,1.833285,4.005192,11.337442,1.952976,0.6134,0.921018,-1.229525,0,0,2,2,0.350031,4.423963,-0.122562,-0.064,11.975647,3.805139,3.882655,-0.028745,0.68929,0.68929,128.422778,3.849027,7.270855,0,3.958647,1.850442,0.002539,3.796032,18.999412,0.136083,8,1.929227,3.898308,5.068349,0.808,3,1,1,0.036612,-3.327946,3.291088,22.118912,0.785,54,-2.952925,3.034794,50,112.718254,3.797203,2.401507,-0.011491,5.977695,0.147586,4.13,0.283447,1.826225,0.348958,17.400844,1.983223,1.37597,3.87617,13,0.458446,243.611814,243.611814,487.223628,-9.36195,2,85.08,0.688672,5.78996,8,15.288465,2,3.24197,0,0.623099,5.877736,4.639356,-0.188928,3.811726,3.21953,-0.375311,2,54,532,3.859897,0.319704,-0.086868,1,4806.439521,5.686975,0.056904,2,1.901505,-0.080923,0.17,0.36,1.313685,-0.030728,3.909546,0.517241,363.666667,14.672377,2.86653,0.007323,3.060136,48,-0.087865,358.414185,2.086863,10.779185,0.031151,15.998851,5.634797,6,3.073716,1.840326,0.738623,0
0,0,0,0,0,0.086944,0,2.117013,0.951085,0,1,0,1,6.375795,14.445898,0,0,-0.164283,-0.169378,0,2.131682,0.95121,2.037065,0,0.512965,-3.656327,-0.000296,0.971828,1.261159,0.437758,11.996089,-0.941355,-0.941355,0,-0.033415,0,0,9,-0.006588,3.997748,2.012876,0,39.533302,2.15606,2.613116,0.53407,3.104548,3,3,6,6,0.293705,4.707393,-0.012725,2.922,13.233707,3.991014,4.054423,-0.057708,0.680624,0.680624,285.875868,3.988985,0,1,1.226564,2.597013,-0.000054,3.850666,16.009386,0.455554,7,1.970559,4.079641,5.153267,4.014,2,0,0,0.020262,-5.984917,3.731861,39.533302,3.991,613,-1.732653,4.372481,798,151.339101,3.847433,5.603946,0.005032,0,-0.002328,9.111559,1.826176,1.837111,2.193559,41.279307,2.024803,1.111884,3.951097,12,0.422142,709.782713,1191.130589,2394.199825,-16.234414,17,790.15,0.942848,6.863803,15,41.68773,0,3.700018,0.414754,0.656762,7.105786,5.148068,-0.659544,3.86803,4.453587,-0.407124,0,220,4171,3.92908,1.602776,-0.14098,10,23174.16772,6.563856,0.034997,7,3.727422,0.044076,1.485625,0.316667,0.743132,-0.003698,4.627469,0.375,1554.208333,39.276175,3.394731,0.011124,3.601888,989,0.066632,1548.807794,9.624372,12.591821,0.036655,50.60462,16.893032,15,3.593149,1.857794,0.735407,0
0,0,0,0,0,1.734709,0,1.969414,2.116015,0,1,0,1,0.166667,10.131602,0,0,-0.161626,0.287884,0,1.97051,0.742158,1.845267,0,0.287884,-1.275886,-0.001303,1.814664,1.394781,0.543401,11.998506,-0.046738,-0.046738,0,0.282232,0,0,1,-0.010289,3.871941,1.818329,0,8.279409,1.980691,0.287884,0.722402,0.694858,0,0,3,3,0.257654,3.901856,-0.105536,0.348,13.142264,3.88051,3.967285,-0.139874,0.439514,0.439514,63.573466,3.956392,8.177467,2,2.38316,1.101563,0.00203,3.788726,34.969381,0.439624,7,1.9359,3.979276,4.854764,1.978,2,0,0,0.027186,-1.752344,3.221277,17.758,1.942,143,-0.54963,5.58935,152,76.712939,3.782306,0.857752,0.004999,6.948764,0.1644,1.606077,0.299343,1.805667,0.417552,20.341696,2.041032,0.722402,3.899169,8,0.427381,284.783745,284.783745,569.56749,-4.049301,5,205.06,0.779866,6.042633,5,15.654829,2,3.184454,0.364339,0.841228,6.171701,4.269837,0.685604,3.92578,2.906502,-0.387789,1,85,1057,3.86345,0.847187,-0.072519,6,4980.24911,5.924256,0.043784,4,1.235795,0.067956,0.225008,0.4,1.160304,-0.002976,3.822172,0.258065,466.283951,17.509793,2.836041,0.009059,3.001761,153,0.118235,401.697561,3.561346,11.371765,0.037516,15.908187,6.951487,5,2.988401,1.832677,0.716131,0
0,0,0,0,0,0,0,1.885883,1.116065,0,0,0,0,0.814325,11.733711,0,0,-0.028221,0,0,1.928875,0.709922,1.850558,0,0,-0.536534,-0.001129,0,1.482575,0,11.9,-0.563866,-0.563866,0,-0.036074,0,0,0,-0.021461,4.186634,1.872412,0,10.372655,1.893004,0,0,-1.007119,0,0,1,1,0.294587,3.818182,-0.065655,0.003,11.564587,4.058415,4.123569,-0.165305,0.60956,0.60956,90.409152,4.756328,3.965406,1,5.416894,0.605636,-0.001061,3.473852,31.972072,0.354925,4,1.767967,4.082085,4.942899,1.144,2,0,0,0.032044,-1.438399,2.797434,13.85715,1.14,39,-5.074467,5.020923,25,38.546948,3.40668,4.82802,-0.029621,0,-0.061708,-2.088889,0.020408,1.718989,0.043403,14.184711,1.996223,1.235401,3.524768,14,0.444687,113.47769,113.47769,226.955381,-3.905039,3,49.05,0.51723,5.820083,4,7.834397,0,2.766068,0.453232,0.92391,5.484797,4.60358,0.237084,3.633786,2.460889,-0.31211,0,45,367,3.512869,0.653517,-0.179852,1,381.316489,5.869297,0.046494,2,1.065335,-0.228156,0,0.346154,0.499211,-0.025932,3.754264,0.235294,232.532407,9.760091,2.437704,0,2.591964,17,-0.150319,155.696988,1.474013,10.801472,0.027135,8.463553,3.854601,4,2.578397,1.688918,0.734947,0
