maxHssNH,maxsF,nHBint8,SsF,minssNH,minHBint4,minsF,n6HeteroRing,minHssNH,SpMin1_Bhp,mindsCH,SHssNH,SpMin1_Bhe,nT6HeteroRing,MDEO-11,BCUTp-1h,minHBint8,SHCsatu,GATS1s,minHBd,nF,SpMin1_Bhi,nsF,MDEN-22,maxHBd,SpMin1_Bhv,minHBint2,minHCsatu,nHBint4,ATSC8c,AATSC0i,mindsN,ATSC8e,AATSC8c,maxHCsatu,maxHdsCH,MATS8c,minwHBa,ndssC,nT10HeteroRing,nF10HeteroRing,SM1_Dzi,mindssC,BCUTw-1l,BCUTc-1h,SpMax1_Bhv,ATSC6e,SpMax2_Bhm,SpMax1_Bhp,SHBd,SpMax3_Bhs,SpMin1_Bhm,mindO,BCUTw-1h,n6Ring,nT6Ring,AATSC8e,MATS8e,nT10Ring,nF10Ring,ATSC0s,SM1_Dzp,nHeteroRing,ATSC6c,WTPT-4,nHssNH,nssNH,maxHother,SpMax1_Bhm,MDEC-33,SpMax1_Bhe,MLFER_A,C3SP2,SpMax1_Bhi,BCUTp-1l,WTPT-5,piPC9,SCH-6,MLFER_BO,piPC10,nN,nTRing,nAtomP,MLFER_BH,ATSC0i,SpMax2_Bhp,SpMin2_Bhp,SpMax1_Bhs,minHCsats,fragC,AATSC6c,SM1_Dzv,MATS6c,SpMax2_Bhs,ASP-7,SpMax8_Bhs,MPC9,SpMax_Dt,EE_Dt,SpAD_Dt,GGI7,GGI8,nssCH2,SpMax5_Bhi,minHdsCH,WTPT-3,MPC10,SpMax4_Bhs,SHdsCH,TPC,GATS1e,SpDiam_Dt,JGI10,ASP-1,GATS3s,SpMax7_Bhs,R_TpiPCTPC,SpMax6_Bhs,ATS3s,SpMAD_Dt,gmin,SM1_Dze,SpMax5_Bhe,nHBAcc2,MATS1s,nRing,SP-6,BCUTc-1l,TpiPC,MATS6s,hmax,ATS4s,SM1_Dzs,SP-7,nX,SpMax2_Bhi,WTPT-2,MDEC-23,SpMax6_Bhm,SpMax5_Bhv,RotBtFrac,MPC8,MATS6e,MPC5,SP-5,ATSC7e,minHBa,SpMin2_Bhe,ASP-6,nBondsD2,SpMax2_Bhv,nBondsS3,ATSC8m,minssCH2,GGI9,AATSC6e,MIC0,VCH-6,SpMax6_Bhp,ATS8m,AATSC0m,AVP-7,MPC4,MWC9,MPC7,minHother,nHBAcc,nFRing,SpMin5_Bhp,ETA_Epsilon_3,piPC8,SpMax5_Bhp,MLFER_S,SpMax2_Bhe,SpMin8_Bhp,ASP-5,SP-4,ETA_Psi_1,ETA_dPsi_A,AVP-6,nHCsatu,SM1_Dzm,AVP-5,VR1_Dzs,ATS8s,SpMin2_Bhi,VP-7,SRW10,AATSC7e,MWC8,IC2,SP-3,VP-5,ASP-3,nwHBa,ETA_Shape_P,SpMin2_Bhv,ATS7s,SRW8,IC3,ATSC0e,ndsN,MPC3,ATS6i,SC-5,MWC5,WPOL,SpMax3_Bhp,minsssN,VR3_Dzp,VR3_Dze,ATS6e,VR3_DzZ,VR3_Dzm,ETA_Eta_L,SpMax4_Bhi,VCH-7,nHBa,ASP-2,SpMin5_Bhv,AATS8m,VR3_Dzi,ndsCH,nHdsCH,MWC7,SpMin8_Bhe,SpMax8_Bhi,SpMin5_Bhi,ASP-0,AATSC0v,MPC6,MDEN-23,MATS8m,VR2_Dze,ATS6p,MWC10,AATSC8m,MATS7e,SpMin8_Bhv,TSRW,SpMin7_Bhm,ATS3i,ECCEN,TIC5,IC0,ETA_BetaP_s,ATS2e,SpMax3_Bhv,ATS6s,SpMin3_Bhm,Mare,SpMax7_Bhp,VR1_D,Inhibitor
0,13.617387,0,13.617387,0,0,13.617387,0,0,1.901167,1.501837,0,1.824373,0,0,11.077213,0,0.619921,0.482632,0,1,1.803909,1,2.381102,0,1.912407,0,0.619921,0,0.011554,2.552377,3.755674,-0.322541,0.000312,0.619921,0.588269,0.049413,-0.13543,4,0,0,1.167801,-0.13543,11.997408,0.193582,3.783869,0.275227,3.779485,3.800532,0,3.69369,1.912221,0,31.972072,2,2,-0.008717,-0.10386,0,0,51.654653,-3.646794,1,0.043855,0,0,0,0.588269,3.993305,2.004145,3.867729,0.003,1,3.90971,4.735846,12.733777,5.978886,0.33677,1.208,6.204558,4,3,11,1.218,79.123697,3.747747,1.884397,4.713768,0,104.06,0.00107,-1.666379,0.169251,3.933734,0.034966,2.561904,55,168.229732,168.229732,336.459465,0.212727,0.067515,1,2.933915,0.492596,18.38372,53,3.625327,4.730741,474,0.441028,251.204959,0.005734,0.447424,0.974307,2.751626,4.527426,2.775649,191.45679,16.822973,-1.500536,0.945908,2.8833,5,0.03102,3,2.603024,-0.239033,7.671827,0.109252,0.619921,193.962963,-0.063336,1.853198,1,3.849361,2.057351,11.241912,2.679071,2.723337,0.227273,56,0.079979,52,4.310079,0.386166,-1.500536,1.798105,0.053123,8,3.746801,14,-103.868527,0.782289,0.04125,0.006713,20.233209,0.094348,2.694893,2481.667742,50.316059,0.011309,47,10.581597,53,0.492596,4,0,1.156703,0.44286,5.799093,2.715374,2.306,3.82208,0.752233,0.082886,5.856923,0.57235,0.14194,0.019442,1,1.563148,0.033445,166.00758,125.833333,1.770725,0.599372,9.728241,0.009419,9.725974,3.465843,7.170567,1.739149,0.188699,13,0.0294,1.89327,170.648148,8.122371,4.321627,2.601924,3,38,6701.316173,0.253934,7.163172,27,3.413884,1.776044,10.872683,10.053827,332.603958,10.916511,10.926329,4.77028,3.135838,0.0856,3,0.288003,1.171271,67.072101,10.078169,9,9,8.869679,0.546272,2.569949,0.805186,0.689312,48.336919,49,1.889882,-0.055792,7.623084,65.80723,11.439634,-2.807257,0.112217,0.786612,9.994653,0.926156,9698.372166,374,145.580086,1.749141,0.6,408.484214,3.36669,157.351852,1.323743,1.00671,2.643683,155.082527,0
0.380066,0,0,0,3.319466,0,0,0,0.380066,1.937107,1.894843,0.380066,1.862387,0,0,11.731231,0,0.912666,0.622778,0.380066,0,1.845268,0,0,0.380066,1.939067,0,0.912666,0,0.042447,1.478713,0,0.358026,0.000393,0.912666,0.587461,0.029578,-0.069928,8,0,0,1.101563,-0.069928,11.85,0.248359,3.884097,1.031324,3.902062,3.878767,0.380066,3.854404,1.95004,13.34011,34.968854,3,3,0.003315,0.040727,0,0,45.094531,-4.049301,2,0.076192,8.759985,1,1,0.587461,3.9695,9.66612,3.969433,0.003,3,3.995354,5.724086,6.732787,7.163172,0.58677,1.046,7.510431,2,6,18,1.036,68.020782,3.784714,1.909123,4.599192,0,277.06,0.000705,-1.752344,0.053092,3.949248,0.026828,2.794769,212,301.981875,301.981875,603.963749,0.420103,0.356513,1,3.239573,0.477335,18.012151,238,3.73672,6.67869,1292,0.720828,406.494205,0.005638,0.429899,0.777524,2.84558,4.611455,3.256392,315.962963,20.826336,-0.259675,1.235795,3.224198,5,-0.070157,5,5.599074,-0.316523,8.692658,-0.007156,0.912666,345.545268,1.364202,4.158383,1,3.852047,2.087539,30.204794,3.117038,3.055084,0.151515,186,0.117317,111,7.733509,0.88483,0.774905,1.83269,0.043404,11,3.777677,22,-294.215799,0.224923,0.195015,0.009549,17.596469,0.173831,2.987209,7852.480495,47.591879,0.005946,87,11.33338,155,0.477335,5,1,1.452503,0.44684,6.801283,3.045529,2.93,3.843426,0.982819,0.069671,9.570994,0.58185,0.13244,0.011526,1,1.693982,0.022587,413.926623,324.979424,1.814224,0.921635,10.339708,0.008193,10.430196,4.066615,11.431442,2.507177,0.175868,21,0.07475,1.918134,346.102881,8.683216,4.898456,3.744275,0,65,16785.46344,0.465056,7.732369,46,3.757427,1.684519,16.208177,17.695152,837.901736,17.87909,17.873866,6.62341,3.625513,0.211009,6,0.273629,1.459355,72.708153,18.578378,13,13,9.527703,0.824968,2.865342,1.212839,0.682563,49.344911,129,1,-0.057241,15.401745,163.500279,12.239445,-2.72422,0.100653,1.028725,10.603312,1.102295,15992.44517,615,244.08385,1.604352,0.64655,658.230144,3.757961,335.361111,1.871137,0.994522,2.753872,1327.901433,0
0,0,1,0,0,0,0,1,0,2.046613,1.513468,0,1.98834,1,1.301395,12.570057,0.294987,0,0.729016,0.515033,0,1.990391,0,0,0.515033,2.067621,6.224928,0,0,-0.2019,1.491172,4.657872,0.374937,-0.001803,0,0.628401,-0.123745,-1.104608,9,1,1,1.360931,-1.104608,11.998505,0.291486,3.989375,0.126405,4.001835,4.087686,0.515033,4.025,2.000686,12.086466,34.969381,3,3,0.003348,0.033482,1,1,121.229886,-5.789752,2,0.056745,12.687709,0,0,0.628401,4.731309,11.35242,4.071927,0.591,3,4.056163,4.734796,6.610281,7.759187,0.191638,1.344,8.052297,2,5,24,1.349,82.014486,3.859804,1.888966,5.091988,0.362328,233.09,0.00045,-2.392754,0.030915,4.867553,0.027616,3.45178,219,354.160403,354.160403,708.320805,0.699653,0.507669,6,3.364723,0.527596,25.374175,238,4.007463,3.957879,1339,0.622539,479.699435,0.007738,0.43734,0.653098,3.507959,7.208364,3.821707,424.177983,22.135025,-5.521105,1.80414,3.366177,7,-0.146005,4,6.206828,-0.346768,9.175024,-0.077114,1.432159,525.255144,-0.944555,4.501406,1,3.90925,2.041074,24.715524,3.324385,3.221263,0.228571,187,0.010034,117,8.07019,2.620285,0.572753,1.822595,0.044334,11,3.821682,24,543.68623,0.555992,0.307191,0.001003,21.343482,0.06425,3.013321,8436.918446,58.121994,0.007461,88,11.434758,163,0.527596,7,1,1.562773,0.44222,7.311218,3.248523,3.007,3.909097,1.169788,0.068976,9.813743,0.55436,0.15993,0.015406,0,2.817872,0.027641,239.924097,332.62963,1.825591,1.216198,10.5187,0.021836,10.529292,4.573971,12.172897,3.233996,0.176419,16,0.16421,1.921569,546.763375,8.819222,5.113089,5.49913,1,69,19666.81264,1.082873,7.814803,60,3.692993,1.656201,19.431534,23.119206,993.518726,20.819384,20.818397,8.33063,3.614181,0.121406,7,0.280429,1.570028,75.329629,19.661139,7,7,9.62066,0.919778,3.08076,1.370616,0.715003,51.104875,140,0.166667,0.08352,42.906184,182.027547,12.345813,4.854341,0.218392,1.165924,10.727597,1.127816,21435.99244,820,281.219897,1.750569,0.63281,805.454584,3.666112,467.630658,1.840961,0.996436,3.012359,464.346111,0
0.443949,0,0,0,2.87235,0,0,1,0.443949,2.019688,1.37054,0.443949,1.893453,1,0.721125,11.659236,0,0.587546,0.471397,0.443949,0,1.870337,0,1.626489,0.443949,2.008855,5.728852,0.587546,0,0.075658,1.742577,4.063371,-1.289454,0.000796,0.587546,0.667163,0.078637,-0.383748,9,0,0,2.009249,-0.383748,11.999,0.235526,3.855066,0.581698,3.907238,3.856591,0.443949,4.015313,1.981509,11.71279,31.972073,3,3,-0.013573,-0.171578,0,0,101.707927,-6.450018,3,0.144765,7.449452,1,1,0.667163,4.095465,8.440628,3.946554,-0.088,2,3.974888,4.156265,22.330625,7.060476,0.664897,1.751,7.383368,7,6,26,1.773,94.099154,3.813878,1.913053,4.993049,0.36153,313.11,0.001196,-3.274677,0.118132,4.74784,0.029715,3.293216,171,374.111534,374.111534,748.223068,0.535608,0.30891,5,3.428137,0.529154,32.938103,187,4,4.015909,1206,0.468592,534.722375,0.006352,0.432195,0.584035,3.481577,4.81675,3.781602,387.283951,22.673426,-1.597418,1.798681,3.408957,9,0.027235,5,5.991735,-0.274994,8.667336,0.070051,0.667163,425.969136,2.191667,4.457288,0,3.937542,2.068303,21.330468,3.296431,3.18424,0.216216,158,0.06077,119,8.627387,-1.416768,-1.597418,1.824607,0.04609,11,3.803983,26,3.791752,0.795012,0.265008,0.004807,19.330524,0.279261,3.068412,6907.031549,44.178116,0.008043,96,11.415522,150,0.529154,7,1,1.531064,0.44505,6.776507,3.156811,3.67,3.898853,1.228597,0.072499,10.693564,0.54918,0.16511,0.014524,1,2.370657,0.028875,470.479533,347.87037,1.801565,1.2065,10.458091,-0.012998,10.5228,4.682366,12.616789,3.436109,0.175233,16,0.09595,1.919743,383.17284,8.799511,5.111278,4.271829,3,72,19542.10341,0.625131,7.841886,53,3.599052,1.806569,18.921896,19.216301,969.216986,19.180733,19.180304,8.14359,3.710454,0.31004,6,0.278466,1.460881,72.705595,19.333577,7,7,9.626745,1.018928,3.072481,1.215774,0.695425,47.587589,130,1.994594,0.000903,10.243199,163.858227,12.312228,0.039913,-0.164305,1.285229,10.71956,1.187444,20449.22676,971,284.009038,1.777989,0.66667,785.576844,3.589409,526.376543,1.835328,1.004667,2.867218,355.44932,0
0.349762,14.109871,0,14.109871,2.955694,0,14.109871,1,0.349762,2.038242,1.500757,0.349762,1.88272,1,0,11.654412,0,1.224704,0.538588,0.349762,1,1.849259,1,0,0.349762,2.03744,4.025453,0.542455,0,0.014946,1.85134,0,-0.099979,0.000117,0.682249,0.579508,0.007696,-0.18378,6,0,0,1.548855,-0.18378,11.997376,0.196884,3.84004,0.38068,3.818369,3.832702,0.349762,4.006165,2.002597,11.509107,19.000136,3,3,-0.000781,-0.007961,0,0,88.33543,-6.799633,2,0.29941,8.554388,1,1,0.579508,3.892727,4.869709,3.943724,-0.094,1,3.982478,4.294808,9.974572,6.09357,0.401375,1.588,6.318968,3,5,8,1.583,98.12102,3.766458,1.907238,5.01289,0.557442,205.07,0.001837,-2.701617,0.12106,4.781884,0.030394,2.930404,140,269.148042,269.148042,538.296084,0.476616,0.322759,6,3.349157,0.482491,21.080133,151,3.767407,3.667121,972,0.76524,365.331529,0.007907,0.439168,0.860454,3.163026,2.682099,3.388363,364.388889,19.22486,-0.18378,1.479773,3.318411,6,-0.018161,4,4.756924,-0.34594,7.866339,-0.038845,0.858955,366,2.585204,3.647318,1,3.883447,2.060807,21.764847,2.972666,3.129927,0.258065,137,0.023804,91,6.782271,-1.499551,2.091211,1.811643,0.047569,7,3.771034,24,60.623139,0.239405,0.201566,0.002335,15.95374,0.177142,2.882924,5972.220432,36.879503,0.014175,74,11.116752,120,0.482491,5,1,1.413141,0.44359,6.013715,3.110393,2.657,3.860208,1.127104,0.07453,8.556352,0.53628,0.17801,0.023863,2,1.543086,0.040857,256.684424,364.055556,1.788603,1.701016,10.217312,-0.010201,10.237349,4.559691,10.218412,3.718024,0.17927,13,0.08617,1.907848,387.888889,8.570734,5.072168,5.200037,0,57,27039.27924,0.383683,7.598399,43,3.525414,2.091211,15.394819,15.629027,1238.013228,15.631754,15.632363,7.18967,3.587276,0.182948,6,0.285109,1.413997,46.657972,15.745375,7,7,9.354354,0.867821,2.988896,1.134702,0.696781,49.253304,100,0.471405,0.012842,9.483853,183.606064,12.001266,0.473618,-0.103971,1.152616,10.459181,1.31231,22055.37064,632,272.824897,1.61764,0.67857,797.2573,3.535196,407.527778,1.780578,0.991019,2.824624,276.173594,0
0.433211,0,0,0,2.784878,2.34362,0,1,0.433211,1.994115,2.02435,0.433211,1.907652,1,0.166667,12.099854,0,2.04873,0.589059,0.433211,0,1.894348,0,0,0.433211,1.993605,5.22586,0.569818,2,-0.345559,1.328628,0,-3.108296,-0.004065,0.773016,0.448449,-0.265192,-0.361284,7,0,0,1.181108,-0.361284,11.89,0.291178,3.87776,2.151098,3.78767,3.884978,0.433211,3.865001,1.971183,12.063092,34.969855,2,2,-0.036568,-0.340233,0,0,74.777085,-4.379469,1,0.107969,10.97239,1,1,0.448449,4.09035,11.862103,3.93866,0.605,2,3.953153,4.945779,2.993082,5.880533,0.123597,1.373,5.648974,1,2,8,1.372,61.116894,3.627753,1.784948,4.83495,0.397528,76.07,0.001009,-1.748725,0.065822,4.803905,0.031345,2.848131,72,207.21547,207.21547,414.43094,0.322917,0.238347,3,3.238713,0.424252,19.030103,58,3.627817,1.320012,609,0.701787,304.786821,0.01204,0.454132,1.04925,3.01183,3.144499,3.244387,302.462087,16.577238,-0.361284,1.553811,3.189691,5,-0.045167,2,3.636331,-0.375701,7.557995,0.15998,0.773016,340.54321,1.971986,2.288183,2,3.739115,1.981989,14.850686,3.184281,3.020288,0.461538,71,0.187046,70,4.994039,1.457453,0.694638,1.670605,0.048484,6,3.630168,20,-1450.951521,0.213996,0.14125,0.020104,20.336485,0.049572,2.892662,4066.868103,67.565326,0.008815,58,10.940597,73,0.424252,5,0,1.369573,0.43699,5.669881,3.030909,2.152,3.72405,1.046682,0.071343,6.813463,0.54445,0.16984,0.0158,3,2.461932,0.028383,1292.94994,232.333333,1.652833,0.643524,10.064458,0.015025,10.058566,4.631833,8.267929,1.986814,0.183732,10,0.29561,1.788591,290.839506,8.395929,4.909113,4.944078,0,45,17390.9541,0.472702,7.398174,39,3.369286,0,13.080029,13.72472,860.8649,13.688167,13.686326,6.8753,3.406944,0.129891,7,0.302273,1.396253,47.845507,13.649324,3,3,9.162305,0.800065,2.893229,1.118712,0.742405,51.892811,75,0,-0.252645,9.689202,138.108698,11.840335,-17.070018,0.139796,1.04087,10.277806,1.135506,16614.5299,484,225.819187,1.669272,0.62,652.05804,3.375179,377.746914,1.751063,0.990696,2.818258,246.852059,0
0.6134,12.386945,0,24.77389,2.401507,0,12.386945,0,0.6134,1.951252,1.351977,0.6134,1.850512,0,0,9.708715,0,2.538374,0.610463,0.6134,2,1.833285,2,1,0.6134,1.944989,7.345856,0.47321,0,-0.162344,2.254365,4.005192,-0.314294,-0.002108,0.921018,0.68929,-0.122562,-0.426042,8,0,0,1.850442,-0.426042,11.996151,0.350031,3.805139,-1.229525,3.811726,3.801536,0.6134,4.423963,1.952976,11.975647,18.999412,2,2,-0.004082,-0.028745,0,0,128.422778,-9.36195,0,0.271655,11.337442,1,1,0.68929,3.849027,7.270855,3.882655,-0.064,3,3.898308,3.034794,5.977695,5.78996,0.136083,0.808,5.877736,2,2,13,0.785,112.718254,3.796032,1.929227,5.068349,0,85.08,0.002539,-3.327946,0.147586,4.639356,0.036612,3.21953,50,243.611814,243.611814,487.223628,0.348958,0.283447,1,3.291088,0.467013,22.118912,48,3.909546,3.481488,532,0.688672,358.414185,0.007323,0.458446,0.623099,3.234731,3.958647,3.533959,357.777778,17.400844,-2.952925,1.901505,3.24197,8,-0.086868,2,3.471133,-0.375311,7.65302,-0.087865,1.37597,363.666667,4.13,2.086863,2,3.87617,1.983223,14.672377,3.050135,3.060136,0.517241,54,-0.080923,66,5.634797,-3.226471,2.401507,1.840326,0.056904,8,3.797203,21,122.050256,-0.188928,0.17,-0.011491,17.663298,0.048113,2.86653,4806.439521,39.323587,0.005936,54,10.779185,57,0.467013,6,0,1.422001,0.43659,5.686975,3.073716,2.447,3.859897,1.072067,0.085376,6.774159,0.49444,0.21985,0.012198,4,2.017641,0.024525,377.258692,313.305556,1.826225,0.338338,9.995109,-0.030728,9.937841,4.427976,9.053411,1.61862,0.196813,14,0.22864,1.931561,375.916667,8.394573,4.878563,7.09989,1,46,17705.51908,0.319036,7.404279,40,3.328769,0,15.288465,15.623405,849.479832,15.629676,15.631496,6.52752,3.411516,0.089603,7,0.308303,1.434425,62.421292,15.998851,6,6,9.089866,0.859204,2.927814,1.150829,0.738623,47.742838,61,0,0.040308,9.464833,120.080986,11.627173,1.585068,-0.2164,1.132373,10.224665,1.230139,14434.34597,723,255.928147,1.712935,0.61607,690.923976,3.364004,402.861111,1.589141,1.01392,2.84625,258.411127,0
0,0,0,0,0,0.086944,0,1,0,2.117013,0.951085,0,2.037065,1,6.375795,14.445898,0,0.971828,0.95121,-0.169378,0,2.012876,0,0,0.512965,2.131682,0,0.437758,9,-0.164283,1.261159,0,-3.656327,-0.000296,0.53407,0.680624,-0.012725,-0.941355,7,0,0,2.597013,-0.941355,11.996089,0.293705,3.991014,3.104548,3.86803,3.997748,2.613116,4.707393,2.15606,13.233707,16.009386,6,6,-0.006588,-0.057708,3,3,285.875868,-16.234414,1,-0.033415,39.533302,0,0,0.680624,3.988985,0,4.054423,2.922,2,4.079641,4.372481,0,6.863803,0.455554,4.014,7.105786,0,17,12,3.991,151.339101,3.850666,1.970559,5.153267,0.414754,790.15,-0.000054,-5.984917,-0.002328,5.148068,0.020262,4.453587,798,1191.130589,709.782713,2394.199825,2.193559,1.826176,10,3.731861,0.680624,39.533302,989,4.627469,1.361247,4171,0.942848,1548.807794,0.011124,0.422142,0.656762,4.47975,1.226564,4.482147,1227.791667,41.279307,-1.732653,3.727422,3.700018,15,-0.14098,7,13.683852,-0.407124,8.540324,0.066632,1.111884,1554.208333,9.111559,9.624372,0,3.951097,2.024803,39.276175,3.4121,3.601888,0.375,613,0.044076,301,16.893032,-2.037464,5.603946,1.857794,0.034997,6,3.847433,58,404.143029,-0.659544,1.485625,0.005032,12.860861,0.388769,3.394731,23174.16772,37.640217,0.012891,220,12.591821,475,0.34292,15,10,1.764141,0.44321,6.563856,3.593149,4.611,3.92908,1.535664,0.056123,21.032035,0.50864,0.20565,0.022102,2,3.738984,0.03637,1236.310488,1425.340278,1.837111,6.123265,11.559036,-0.003698,11.617529,5.066459,25.31469,10.947254,0.16124,10,0.26415,1.97409,1547.416667,9.731809,5.950274,13.699175,0,157,101564.9921,3.38278,8.687611,134,3.779564,0,41.68773,54.680678,4628.977924,54.647799,54.662229,19.88096,3.797678,1.150163,15,0.260543,1.792937,41.755257,50.60462,2,2,10.632846,1.344563,3.416129,1.616193,0.735407,48.612155,391,0,0.019346,214.274958,639.416586,13.581972,0.728186,-0.032391,1.54753,11.748164,1.627666,58959.17493,2162,779.052434,1.397783,0.62931,1867.217636,3.791241,1626.048611,1.870704,0.988,3.26033,1646.40665,0
0,0,0,0,0,1.734709,0,1,0,1.969414,2.116015,0,1.845267,1,0.166667,10.131602,0,1.814664,0.742158,0.287884,0,1.818329,0,0,0.287884,1.97051,0,0.543401,1,-0.161626,1.394781,0,-1.275886,-0.001303,0.722402,0.439514,-0.105536,-0.046738,7,0,0,1.101563,-0.046738,11.998506,0.257654,3.88051,0.694858,3.92578,3.871941,0.287884,3.901856,1.980691,13.142264,34.969381,3,3,-0.010289,-0.139874,0,0,63.573466,-4.049301,2,0.282232,8.279409,0,0,0.439514,3.956392,8.177467,3.967285,0.348,2,3.979276,5.58935,6.948764,6.042633,0.439624,1.978,6.171701,2,5,8,1.942,76.712939,3.788726,1.9359,4.854764,0.364339,205.06,0.00203,-1.752344,0.1644,4.269837,0.027186,2.906502,152,284.783745,284.783745,569.56749,0.417552,0.299343,6,3.221277,0.419849,17.758,153,3.822172,1.712249,1057,0.779866,401.697561,0.009059,0.427381,0.841228,2.950598,2.38316,3.456738,384.444959,20.341696,-0.54963,1.235795,3.184454,5,-0.072519,4,5.297916,-0.387789,7.832014,0.118235,0.722402,466.283951,1.606077,3.561346,1,3.899169,2.041032,17.509793,3.056153,3.001761,0.258065,143,0.067956,104,6.951487,-0.345228,0.857752,1.832677,0.043784,6,3.782306,25,628.219895,0.685604,0.225008,0.004999,16.624703,0.184909,2.836041,4980.24911,48.482527,0.008424,85,11.371765,131,0.419849,5,1,1.415469,0.44359,5.924256,2.988401,2.345,3.86345,1.182515,0.066841,9.533566,0.57789,0.1364,0.01725,3,1.693982,0.030005,377.322062,302.159465,1.805667,1.1036,10.437727,-0.002976,10.473761,4.540184,10.627152,3.12048,0.171406,11,0.21318,1.950815,290.87963,8.743053,4.794729,4.04591,0,62,22597.59107,0.534966,7.732369,48,3.542401,1.886321,15.654829,15.894534,1050.458092,15.866022,15.864985,8.17157,3.569979,0.324274,6,0.2811,1.416553,40.163299,15.908187,4,4,9.548597,0.935185,3.00748,1.172627,0.716131,52.006046,121,0,0.104497,10.427169,167.026029,12.2982,5.066289,-0.040457,1.190208,10.674035,1.259791,22727.55906,673,271.710122,1.540553,0.65179,821.316976,3.54742,346.530864,1.782583,0.9736,2.824624,301.841097,0
0,0,0,0,0,0,0,0,0,1.885883,1.116065,0,1.850558,0,0.814325,11.733711,0,0,0.709921,0,0,1.872412,0,0,0,1.928875,0,0,0,-0.028221,1.482575,0,-0.536534,-0.001129,0,0.60956,-0.065655,-0.563866,4,0,0,0.605636,-0.563866,11.9,0.294587,4.058415,-1.007119,3.633786,4.186634,0,3.818182,1.893004,11.564587,31.972072,1,1,-0.021461,-0.165305,0,0,90.409152,-3.905039,1,-0.036074,10.372655,0,0,0.60956,4.756328,3.965406,4.123569,0.003,2,4.082085,5.020923,0,5.820083,0.354925,1.144,5.484797,0,3,14,1.14,38.546948,3.473852,1.767967,4.942899,0.453232,49.05,-0.001061,-1.438399,-0.061708,4.60358,0.032044,2.460889,25,113.47769,113.47769,226.955381,0.043403,0.020408,1,2.797434,0.519948,13.85715,17,3.754264,2.744705,367,0.51723,155.696988,0,0.444687,0.92391,2.692304,5.416894,3.073281,221.271605,14.184711,-5.074467,1.065335,2.766068,4,-0.179852,2,2.324687,-0.31211,7.595387,-0.150319,1.235401,232.532407,-2.088889,1.474013,0,3.524768,1.996223,9.760091,2.470378,2.591964,0.235294,39,-0.228156,54,3.854601,-0.829811,4.82802,1.688918,0.046494,7,3.40668,10,-116.198315,0.237084,0,-0.029621,19.260079,0.136922,2.437704,381.316489,56.363791,0.007629,45,10.801472,46,0.519948,4,1,0.916268,0.43913,5.869297,2.578397,2.569,3.512869,0.434283,0.071381,4.845107,0.52752,0.18677,0.012729,0,1.622421,0.022948,107.617295,74.5,1.718989,0.35094,9.824174,-0.025932,9.887307,3.979098,5.609845,1.239174,0.169995,9,0.19565,1.805145,107.472222,8.117014,4.28679,3.375544,0,33,5360.336958,0.484411,7.120444,25,3.275763,0,7.834397,8.126539,269.97669,8.270497,8.278365,3.63145,3.21065,0.185618,4,0.287093,0.92724,15.25266,8.463553,5,5,8.957639,0.080046,2.294604,0.66313,0.734947,49.871464,50,0,-0.082463,10.039207,44.686495,11.730703,-4.647933,-0.199737,0.458237,10.092743,0.624347,8306.260917,204,113.456545,1.651477,0.60938,372.454678,3.279356,119.12963,1.502897,1.014462,2.130164,124.747753,0
