,smiles
0,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCC(CC4)O)NC1
1,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)Cl)NC1
2,COC(=O)C1=C(C=CC(=C1)CC2=NNC(=O)C3=C2NCCC3)F
3,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)N)NC1
4,CCNC(=O)C1=C(C=CC(=C1)CC2=NNC(=O)C3=C2NCCC3)F
5,C1CCN(C1)CCNC(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
6,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)N5CCOCC5)NC1
7,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)NC4CC4)NC1
8,CCOCCN1CCN(CC1)C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
9,C1CCN(CC1)CCNC(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
10,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C5=CC=CC=N5)NC1
11,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C5=CC=CC=C5)NC1
12,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCC(CC4)NC(=O)C5=CNN=C5)NC1
13,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCC(CC4)NC(=O)C5=CSC=N5)NC1
14,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCC(CC4)NC(=O)C5=CC=CO5)NC1
15,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCC(CC4)NC(=O)C5=CC6=C(C=C5)C=NN6)NC1
16,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCC(CC4)NC(=O)C5=CC=NC=C5)NC1
17,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCC(CC4)NC(=O)C5=CN=CC=C5)NC1
18,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCC(CC4)NC(=O)C5=CC=CC=N5)NC1
19,C1CC[C@@H]([C@H](C1)N)NC(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
20,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)NC4CCN(CC4)C(=O)C5=CC=NC=C5)NC1
21,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)NC4CCN(CC4)C(=O)C5=CC=CC=N5)NC1
22,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)NC4CCN(CC4)C(=O)C5=CNN=C5)NC1
23,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)NC4CCN(CC4)C(=O)C5=CSC=N5)NC1
24,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)NC4CCN(CC4)C(=O)C5=CC=CO5)NC1
25,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)NC4CCN(CC4)C(=O)C5=CN=CC=C5)NC1
26,CN(C1CCN(CC1)C(=O)C2=CNN=C2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=C4NCCC5)F
27,CN(C1CCN(CC1)C(=O)C2=CSC=N2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=C4NCCC5)F
28,CN(C1CCN(CC1)C(=O)C2=CC=CO2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=C4NCCC5)F
29,CN(C1CCN(CC1)C(=O)C2=CC=NC=C2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=C4NCCC5)F
