acname,acvalue
IC50,151.5
EC50,151
EC50,150
EC50,150
EC50,150
IC50,145.75
IC50,133.5
IC50,130.5
IC50,123
IC50,120
IC50,120
Ki,100
IC50,100
IC50,100
IC50,100
IC50,100
IC50,100
IC50,100
IC50,100
IC50,100
EC50,100
EC50,100
EC50,100
EC50,100
EC50,100
Kd,100
Kd,100
EC50,100
Kd,100
IC50,100
IC50,100
IC50,100
IC50,100
IC50,100
IC50,100
IC50,100
IC50,100
IC50,100
IC50,100
IC50,100
IC50,100
IC50,100
IC50,100
IC50,100
IC50,100
IC50,100
IC50,100
IC50,100
IC50,100
IC50,100
IC50,100
IC50,100
IC50,100
IC50,100
IC50,100
IC50,100
IC50,100
IC50,100
IC50,100
IC50,100
IC50,100
IC50,100
IC50,100
EC50,94
IC50,86.34
IC50,86.2
IC50,85
IC50,85
IC50,85
IC50,85
IC50,85
IC50,85
IC50,85
IC50,83.9
IC50,80
IC50,78
EC50,78
EC50,77
IC50,77
IC50,76.6
EC50,75
IC50,74
IC50,71.2
IC50,71
IC50,66
IC50,62
IC50,60
IC50,57
IC50,55.3
IC50,55
EC50,55
IC50,52
IC50,50
IC50,50
EC50,47
EC50,45
EC50,44
IC50,44
IC50,43
EC50,43
IC50,43
IC50,42.9
EC50,42
IC50,37.4
IC50,35
IC50,34.924
IC50,33
IC50,32.4
Kd,32
IC50,31.6
EC50,31
IC50,30
ED50,30
IC50,30
IC50,30
IC50,30
ED50,30
ED50,30
ED50,30
ED50,30
ED50,30
ED50,30
ED50,30
ED50,30
IC50,30
IC50,30
IC50,29.6
Activity,28.6
IC50,27
EC50,27
Activity,26.8
EC50,26
Kd,26
IC50,25.704
IC50,25
IC50,25
IC50,25
IC50,25
IC50,25
IC50,25
IC50,25
IC50,25
IC50,25
IC50,25
IC50,25
IC50,25
IC50,25
IC50,25
IC50,25
IC50,25
IC50,24
IC50,23.6
IC50,23
IC50,22.4
IC50,22
IC50,22
IC50,22
IC50,21
IC50,21
IC50,20.2
IC50,20
IC50,20
IC50,20
IC50,20
IC50,20
IC50,20
IC50,20
IC50,20
IC50,20
IC50,20
IC50,20
IC50,20
IC50,20
IC50,20
IC50,20
IC50,20
IC50,20
IC50,20
IC50,20
IC50,20
IC50,20
IC50,20
